ean;condition;listing_price;currency;comment;id_offer;id_warehouse;count;minimum_price;id_shipping_group;handling_time
8719883667980;200;238839;EUR;"Offer 1 for item 0";at-FED-csv-a5b9d55f43;;1;238830;;1
8719883667980;300;165735;EUR;"Offer 2 for item 0";at-FED-csv-cc8bc12d04;;2;165726;;2
8719883667980;400;20413;EUR;"Offer 3 for item 0";at-FED-csv-923966b397;;3;20404;;0
8719883667980;500;299357;EUR;"Offer 4 for item 0";at-FED-csv-529813229b;;4;299348;;1
8719883667980;100;24800;EUR;"Offer 5 for item 0";at-FED-csv-505b77fd5c;;5;24791;;2
8719883667980;200;114625;EUR;"Offer 6 for item 0";at-FED-csv-4536989e37;;6;114616;;0
8719883667980;300;415051;EUR;"Offer 7 for item 0";at-FED-csv-ae8fbcddfb;;7;415042;;1
8719883667980;400;341632;EUR;"Offer 8 for item 0";at-FED-csv-7882908626;;8;341623;;2
8719883667980;500;25212;EUR;"Offer 9 for item 0";at-FED-csv-1c1d043119;;9;25203;;0
8719883667980;100;371511;EUR;"Offer 10 for item 0";at-FED-csv-940653a648;;10;371502;;1
